period,stock_symbol,ordinary_shares_number,share_issued,total_debt,cash_and_cash_equivalents
2023-12-31 00:00:00,ADM,513000000.00,513000000.00,9596000000.00,1368000000.00
2022-12-31 00:00:00,ADM,547000000.00,547000000.00,10288000000.00,1037000000.00
2021-12-31 00:00:00,ADM,560000000.00,560000000.00,10581000000.00,943000000.00
2020-12-31 00:00:00,ADM,556000000.00,556000000.00,11053000000.00,666000000.00
2019-12-31 00:00:00,ADM,,,,
2023-12-31 00:00:00,ANET,312245000.00,312245000.00,,1938606000.00
2022-12-31 00:00:00,ANET,306890000.00,306890000.00,43964000.00,671707000.00
2021-12-31 00:00:00,ANET,307681000.00,307681000.00,56527000.00,620813000.00
2020-12-31 00:00:00,ANET,304696000.00,304696000.00,72397000.00,893219000.00
2019-12-31 00:00:00,ANET,,,83022000.00,
2023-12-31 00:00:00,AJG,216700000.00,216700000.00,8317200000.00,971500000.00
2022-12-31 00:00:00,AJG,211900000.00,211900000.00,6415100000.00,738400000.00
2021-12-31 00:00:00,AJG,208500000.00,208500000.00,6592900000.00,402600000.00
2020-12-31 00:00:00,AJG,193700000.00,193700000.00,4865500000.00,664600000.00
2019-12-31 00:00:00,AJG,,,,
2023-12-31 00:00:00,AIZ,51955994.00,54252083.00,2080400000.00,1627400000.00
2022-12-31 00:00:00,AIZ,52830381.00,55126470.00,2129900000.00,1536700000.00
2021-12-31 00:00:00,AIZ,55754113.00,58050202.00,2202500000.00,2040800000.00
2020-12-31 00:00:00,AIZ,57967808.00,62967808.00,2252900000.00,2207600000.00
2019-12-31 00:00:00,AIZ,,,,
2023-12-31 00:00:00,T,7150063361.00,7620748598.00,154899000000.00,6722000000.00
2022-12-31 00:00:00,T,7128000000.00,7621156816.00,154679000000.00,3701000000.00
2021-12-31 00:00:00,T,7141063893.00,7620748598.00,195832000000.00,19223000000.00
2020-12-31 00:00:00,T,7125922015.00,7620748598.00,179447000000.00,9740000000.00
2019-12-31 00:00:00,T,,,,
2023-09-30 00:00:00,ATO,148492783.00,148492783.00,7037828000.00,15404000.00
2022-09-30 00:00:00,ATO,140896598.00,140896598.00,8370016000.00,51554000.00
2021-09-30 00:00:00,ATO,132419754.00,132419754.00,7563090000.00,116723000.00
2020-09-30 00:00:00,ATO,125882477.00,125882477.00,4768731000.00,20808000.00
2023-01-31 00:00:00,ADSK,215000000.00,215000000.00,2666000000.00,1947000000.00
2022-01-31 00:00:00,ADSK,218200000.00,218200000.00,3061000000.00,1528000000.00
2021-01-31 00:00:00,ADSK,219600000.00,219600000.00,2104600000.00,1772200000.00
2020-01-31 00:00:00,ADSK,219400000.00,219400000.00,2544600000.00,1774700000.00
2024-06-30 00:00:00,ADP,408100000.00,638700000.00,3705300000.00,2913400000.00
2023-06-30 00:00:00,ADP,412100000.00,638700000.00,3444300000.00,2083500000.00
2022-06-30 00:00:00,ADP,416100000.00,638800000.00,3494400000.00,1436300000.00
2021-06-30 00:00:00,ADP,423700000.00,638700000.00,3351700000.00,2575200000.00
2020-06-30 00:00:00,ADP,,,,
2023-08-31 00:00:00,AZO,17857000.00,18936000.00,10929767000.00,277054000.00
2022-08-31 00:00:00,AZO,19126000.00,20732000.00,9296349000.00,264380000.00
2021-08-31 00:00:00,AZO,21138000.00,23007000.00,8229162000.00,1171335000.00
2020-08-31 00:00:00,AZO,23376000.00,23697000.00,8306275000.00,1750815000.00
2023-12-31 00:00:00,AVB,142025456.00,142025456.00,8135054000.00,397890000.00
2022-12-31 00:00:00,AVB,139916864.00,139916864.00,8478716000.00,613189000.00
2021-12-31 00:00:00,AVB,139751926.00,139751926.00,8270044000.00,420251000.00
2020-12-31 00:00:00,AVB,139526671.00,139526671.00,7745816000.00,216976000.00
2019-12-31 00:00:00,AVB,,,,
2023-12-31 00:00:00,AVY,80495585.00,124126624.00,3244300000.00,215000000.00
2022-12-31 00:00:00,AVY,80810016.00,124126624.00,3102100000.00,167200000.00
2021-12-31 00:00:00,AVY,82605953.00,124126624.00,3104700000.00,162700000.00
2020-12-31 00:00:00,AVY,83151174.00,124126624.00,2116800000.00,252300000.00
2019-12-31 00:00:00,AVY,,,,
2023-12-31 00:00:00,AXON,75301424.00,95521651.00,710663000.00,598545000.00
2022-12-31 00:00:00,AXON,71474581.00,91694808.00,711110000.00,353684000.00
2021-12-31 00:00:00,AXON,70896856.00,91117083.00,20440000.00,356332000.00
2020-12-31 00:00:00,AXON,63766555.00,83986782.00,,155440000.00
2019-12-31 00:00:00,AXON,,,,
2023-12-31 00:00:00,BKR,998000000.00,998000000.00,6021000000.00,2646000000.00
