period,stock_symbol,ebitda,ebit,diluted_eps,basic_eps,net_income,tax_provision,pretax_income,operating_income,operating_expense,gross_profit,total_revenue,operating_revenue
2022-03-31 00:00:00,DECK,609599000.00,566721000.00,16.2600,16.4300,451949000.00,112689000.00,564638000.00,564707000.00,1042844000.00,1607551000.00,3150339000.00,3150339000.00
2021-03-31 00:00:00,DECK,548072000.00,507542000.00,13.4700,13.6400,382575000.00,118939000.00,501514000.00,504205000.00,869885000.00,1374090000.00,2545641000.00,2545641000.00
2023-10-31 00:00:00,DE,17476000000.00,15472000000.00,34.6300,34.8000,10166000000.00,2871000000.00,13019000000.00,14591000000.00,7715000000.00,22306000000.00,60248000000.00,60248000000.00
2022-10-31 00:00:00,DE,12084000000.00,10189000000.00,23.2800,23.4200,7131000000.00,2007000000.00,9127000000.00,9026000000.00,6704000000.00,15730000000.00,51282000000.00,51282000000.00
2021-10-31 00:00:00,DE,10645000000.00,8595000000.00,18.9900,19.1400,5963000000.00,1658000000.00,7602000000.00,7663000000.00,6052000000.00,13715000000.00,43033000000.00,43033000000.00
2020-10-31 00:00:00,DE,7248000000.00,5130000000.00,8.6900,8.7700,2751000000.00,1082000000.00,3883000000.00,4368000000.00,6489000000.00,10857000000.00,34722000000.00,34722000000.00
2019-10-31 00:00:00,DE,,,,,,,,,,,,
2023-12-31 00:00:00,DAL,8783000000.00,6442000000.00,7.1700,7.2100,4609000000.00,999000000.00,5608000000.00,5277000000.00,8858000000.00,14135000000.00,58048000000.00,49632000000.00
2022-12-31 00:00:00,DAL,5050000000.00,2943000000.00,2.0600,2.0700,1318000000.00,596000000.00,1914000000.00,3953000000.00,6644000000.00,10597000000.00,50582000000.00,41268000000.00
2021-12-31 00:00:00,DAL,3675000000.00,1677000000.00,0.4400,0.4400,280000000.00,118000000.00,398000000.00,2337000000.00,-204000000.00,2133000000.00,29899000000.00,23551000000.00
2020-12-31 00:00:00,DAL,-12346000000.00,-14658000000.00,-19.4900,-19.4900,-12385000000.00,-3202000000.00,-15587000000.00,-4031000000.00,-337000000.00,-4368000000.00,17095000000.00,13491000000.00
2019-12-31 00:00:00,DAL,,,,,,,,,,,,
2023-12-31 00:00:00,DVN,7546000000.00,4992000000.00,5.8400,5.8600,3747000000.00,841000000.00,4623000000.00,4910000000.00,457000000.00,5367000000.00,15258000000.00,15258000000.00
2022-12-31 00:00:00,DVN,10368000000.00,8145000000.00,9.1200,9.1518,6015000000.00,1738000000.00,7775000000.00,7920000000.00,449000000.00,8369000000.00,19169000000.00,19169000000.00
2021-12-31 00:00:00,DVN,5444000000.00,3286000000.00,4.1900,4.2000,2813000000.00,65000000.00,2898000000.00,3246000000.00,433000000.00,3679000000.00,12206000000.00,12206000000.00
2020-12-31 00:00:00,DVN,-1531000000.00,-2831000000.00,-7.1200,-7.1200,-2680000000.00,-547000000.00,-3090000000.00,-133000000.00,525000000.00,392000000.00,4828000000.00,4828000000.00
2019-12-31 00:00:00,DVN,,,,,,,,,,,,
2023-12-31 00:00:00,DXCM,916700000.00,730700000.00,1.3000,1.4000,541500000.00,168900000.00,710400000.00,597700000.00,1691200000.00,2288900000.00,3622300000.00,3622300000.00
2022-12-31 00:00:00,DXCM,565300000.00,409400000.00,0.8200,0.8800,341200000.00,49600000.00,390800000.00,391200000.00,1491900000.00,1883100000.00,2909800000.00,2909800000.00
2021-12-31 00:00:00,DXCM,377600000.00,275600000.00,0.3875,0.4000,216900000.00,39900000.00,256800000.00,265800000.00,1414700000.00,1680500000.00,2448500000.00,2448500000.00
2020-12-31 00:00:00,DXCM,376800000.00,309700000.00,1.2650,1.3075,493600000.00,-268600000.00,225000000.00,299500000.00,980600000.00,1280100000.00,1926700000.00,1926700000.00
2023-12-31 00:00:00,FANG,6169000000.00,4423000000.00,17.3400,17.3400,3143000000.00,912000000.00,4248000000.00,4581000000.00,290000000.00,4871000000.00,8412000000.00,8339000000.00
2022-12-31 00:00:00,FANG,7228000000.00,5884000000.00,24.6100,24.6100,4386000000.00,1174000000.00,5736000000.00,6522000000.00,256000000.00,6778000000.00,9643000000.00,9566000000.00
2021-12-31 00:00:00,FANG,4371000000.00,3096000000.00,12.3000,12.3500,2182000000.00,631000000.00,2907000000.00,4079000000.00,241000000.00,4320000000.00,6797000000.00,6747000000.00
2020-12-31 00:00:00,FANG,-4270000000.00,-5581000000.00,-28.5900,-28.5900,-4517000000.00,-1104000000.00,-5776000000.00,545000000.00,92000000.00,637000000.00,2813000000.00,2806000000.00
2019-12-31 00:00:00,FANG,,,,,,,,,,,,
2023-12-31 00:00:00,DLR,3158491000.00,1463632000.00,3.0000,3.0400,948838000.00,75579000.00,1025891000.00,727546000.00,2151444000.00,2878990000.00,5477061000.00,5477061000.00
2022-12-31 00:00:00,DLR,2288940000.00,711007000.00,1.1300,1.1800,377684000.00,31550000.00,411875000.00,661734000.00,2012538000.00,2674272000.00,4691834000.00,4691834000.00
